Union,ইউনিয়ন
Udaypur,উদয়পুর
Udhunia,উধুনিয়া
Ujalkur,উজালকুর
Ujan Char,উজান চর
Ujangram,উজানগ্রাম
Ujani,উজানি
Ujantia,উজানটিয়া
Ujirpur,উজিরপুর
Ulail,উলাইল
Ulania,উলানিয়া
Ulashi,উলশি
Ullah Para,উল্লাহ পাড়া
Ullah Para Paurashava,উল্লাহ পাড়া পৌরসভা
Ulpur,উলপুর
Ulta Chari,উল্টা ছড়ি
Umedpur,উমেদপুর
Upasahar,উপশহর
Upper Kagabala,আপার কাগাবলা
Urafi,উড়াফি
Urail,উড়াইল
Uria,উড়িয়া
Urirchar,উড়িরচর
Urkirchar,উড়কিরচর
Urpha,উড়ফা
Usthi,উস্থি
Uthali,উথালি
Uthrail,উথরাইল
Uthura,উথুরা
Uttam,উত্তম
Uttar Akhaura,উত্তর আখাউরা
Uttar Algi Durgapur,উত্তর আলগী দুর্গাপুর
Uttar Badaghat,উত্তর বড়ঘাট
Uttar Badal,উত্তর বাদল
Uttar Bade Pasha,উত্তর বেড পাশা
Uttar Bakharnagar,উত্তর বখরনগর
Uttar Banchharampur,উত্তর বাঁঞ্ছারামপুর
Uttar Bangshikunda,উত্তর বংশিকুন্ড
Uttar Bedkashi,উত্তর বেদকাশি
Uttar Channel,উত্তর চ্যানেল
Uttar Dakshinbhag,উত্তর দক্ষিণভাগ
Uttar Daudkandi,উত্তর দাউদকান্দি
Uttar Dhamti,উত্তর ধামতি
Uttar Dhurung,উত্তর ধুরুং
Uttar Dighaldi,উত্তর দিঘলদি
Uttar Durgapur,উত্তর দুর্গাপুর
Uttar Elliotganj,উত্তর এলিয়টগঞ্জ
Uttar Gandharabpur,উত্তর গান্ধরবপুর
Uttar Gobindapur,উত্তর গোবিন্দপুর
Uttar Gohat,উত্তর গোহাট
Uttar Gunaighar,উত্তর গুনাইঘর
Uttar Hamchadi,উত্তর হামছড়ি
Uttar Hawla,উত্তর হাওলা
Uttar Ichhapur,উত্তর ইছাপুর
Uttar Jhalam,উত্তর ঝলম
Uttar Joynagar,উত্তর জয়নগর
Uttar Joypur,উত্তর জয়পুর
Uttar Kachua,উত্তর কাচুয়া
Uttar Kalocho,উত্তর কালোচো
Uttar Khan,উত্তর খান
Uttar Khosbas,উত্তর খোসবাস
Uttar Khurma,উত্তর খুরমা
Uttar Madarsa,উত্তর মাদ্রাসা
Uttar Meher,উত্তর মেহের
Uttar Natai,উত্তর নাটাই
Uttar Nayergaon,উত্তর নায়েরগাঁও
Uttar Paikpara,উত্তর পাইকপাড়া
Uttar Panisar,উত্তর পানিসার
Uttar Paschim Baniyachang,উত্তর পশ্চিম বানিয়াচং
Uttar Payalgachha,উত্তর পায়ালগাছা
Uttar Purba Baniachang,উত্তর পূর্ব বানিয়াচং
Uttar Rajargaon,উত্তর রাজারগাঁও
Uttar Ramchandrapur,উত্তর রামচন্দ্রপুর
Uttar Roysree,উত্তর রায়শ্রী
Uttar Rupsa,উত্তর রূপসা
Uttar Sakuchia,উত্তর সাকুচিয়া
Uttar Shahabajpur,উত্তর শাহাবাজপুর
Uttar Shilmuri,উত্তর শিলমুড়ি
Uttar Sreepur,উত্তর শ্রীপুর
Uttar Suchi Para,উত্তর সুচিপাড়া
Uttar Sukhair Rajapur,উত্তর সুখাইর রাজাপুর
Uttar Upadi,উত্তর উপাড়ী
Uttarbhag,উত্তরভাগ
Uttardah,উত্তরদহ
Uttargram,উত্তরগ্রাম
Uzirpur,উজিরপুর
Vimkhali,ভিমখালি
Wagga,ওয়াগ্গা
Wahedpur,ওয়াহেদপুর
Walia,ওয়ালিয়া
Ward No-01,ওয়ার্ড নং-০১
Ward No-02,ওয়ার্ড নং-০২
Ward No-02 (part),ওয়ার্ড নং-০২ (অংশ)
Ward No-03,ওয়ার্ড নং-০৩
Ward No-04,ওয়ার্ড নং-০৪
Ward No-05,ওয়ার্ড নং-০৫
Ward No-06,ওয়ার্ড নং-০৬
Ward No-07,ওয়ার্ড নং-০৭
Ward No-07 (Part),ওয়ার্ড নং-০৭ (অংশ)
Ward No-08,ওয়ার্ড নং-০৮
Ward No-09,ওয়ার্ড নং-০৯
Ward No-09 (Part),ওয়ার্ড নং-০৯ (অংশ)
Ward No-10,ওয়ার্ড নং-10
Ward No-10 (part),ওয়ার্ড নং-10 (অংশ)
Ward No-11,ওয়ার্ড নং-১১
Ward No-12,ওয়ার্ড নং-১২
Ward No-13,ওয়ার্ড নম্বর-১৩
Ward No-14,ওয়ার্ড নং-14
Ward No-14 (part),ওয়ার্ড নং-14 (অংশ)
Ward No-15,ওয়ার্ড নং-15
Ward No-15 (part),ওয়ার্ড নং-15 (অংশ)
Ward No-16,ওয়ার্ড নং-16
Ward No-17,ওয়ার্ড নং-১৭
Ward No-17 (Part),ওয়ার্ড নং-১৭ (অংশ)
Ward No-18,ওয়ার্ড নং-18
Ward No-18 (part),ওয়ার্ড নং-18 (অংশ)
Ward No-19,ওয়ার্ড নং-১৯
Ward No-20,ওয়ার্ড নং-20
Ward No-20 (Part),ওয়ার্ড নং-২০ (অংশ)
Ward No-21,ওয়ার্ড নং-২১
Ward No-22,ওয়ার্ড নং-22
Ward No-23,ওয়ার্ড নং-23
Ward No-24,ওয়ার্ড নং-24
Ward No-25,ওয়ার্ড নং-25
Ward No-26,ওয়ার্ড নং-26
Ward No-27,ওয়ার্ড নং-২৭
Ward No-28,ওয়ার্ড নং-২৮
Ward No-29,ওয়ার্ড নং-২৯
Ward No-30,ওয়ার্ড নং-30
Ward No-31,ওয়ার্ড নং-31
Ward No-32,ওয়ার্ড নং-৩২
Ward No-33,ওয়ার্ড নং-৩৩
Ward No-34,ওয়ার্ড নং-34
Ward No-35,ওয়ার্ড নং-৩৫
Ward No-36,ওয়ার্ড নং-36
Ward No-37,ওয়ার্ড নং-37
Ward No-38 (Part),ওয়ার্ড নং-৩৮ (অংশ)
Ward No-39,ওয়ার্ড নং-৩৯
Ward No-40 (Part),ওয়ার্ড নং-৪০ (অংশ)
Ward No-41,ওয়ার্ড নং-41
Ward No-42,ওয়ার্ড নং-42
Ward No-43,ওয়ার্ড নং-43
Ward No-44,ওয়ার্ড নং-44
Ward No-45,ওয়ার্ড নং-45
Ward No-46,ওয়ার্ড নং-46
Ward No-46 (Part),ওয়ার্ড নং-৪৬ (অংশ)
Ward No-47 (Part),ওয়ার্ড নং-৪৭ (অংশ)
Ward No-47 (part),ওয়ার্ড নং-47 (অংশ)
Ward No-48 (Part),ওয়ার্ড নং-৪৮ (অংশ)
Ward No-49,ওয়ার্ড নং-49
Ward No-50,ওয়ার্ড নং-50
Ward No-51 (Part),ওয়ার্ড নং-51 (অংশ)
Ward No-51 (part),ওয়ার্ড নং-51 (অংশ)
Ward No-52,ওয়ার্ড নং-52
Ward No-53,ওয়ার্ড নং-53
Ward No-54,ওয়ার্ড নং-54
Ward No-55,ওয়ার্ড নং-55
Ward No-56 (Part),ওয়ার্ড নং-56 (অংশ)
Ward No-56 (part),ওয়ার্ড নং-56 (অংশ)
Ward No-57,ওয়ার্ড নং-57
Ward No-58,ওয়ার্ড নং-58
Ward No-59,ওয়ার্ড নং-59
Ward No-60,ওয়ার্ড নং-60
Ward No-61,ওয়ার্ড নং-61
Ward No-62,ওয়ার্ড নং-62
Ward No-63 (Part),ওয়ার্ড নং-63 (অংশ)
Ward No-64,ওয়ার্ড নং-64
Ward No-65,ওয়ার্ড নং-65
Ward No-66 (Part),ওয়ার্ড নং-66 (অংশ)
Ward No-67 (Part),ওয়ার্ড নং-67 (অংশ)
Ward No-67 (part),ওয়ার্ড নং-67 (অংশ)
Ward No-68 (Part),ওয়ার্ড নং-68 (অংশ)
Ward No-68 (part),ওয়ার্ড নং-68 (অংশ)
Ward No-69,ওয়ার্ড নং-69
Ward No-70,ওয়ার্ড নং-70
Ward No-71 (Part),ওয়ার্ড নং-71 (অংশ)
Ward No-72,ওয়ার্ড নং-72
Ward No-73,ওয়ার্ড নং-73
Ward No-74,ওয়ার্ড নং-74
Ward No-75,ওয়ার্ড নং-75
Ward No-76 (Part),ওয়ার্ড নং-৭৬ (অংশ)
Ward No-77,ওয়ার্ড নং-77
Ward No-78,ওয়ার্ড নং-78
Ward No-79,ওয়ার্ড নং-79
Ward No-80 (Part),ওয়ার্ড নং-80 (অংশ)
Ward No-81,ওয়ার্ড নং-81
Ward No-82,ওয়ার্ড নং-82
Ward No-83,ওয়ার্ড নং-83
Ward No-84,ওয়ার্ড নং-84
Ward No-85,ওয়ার্ড নং-85
Ward No-86,ওয়ার্ড নং-86
Ward No-87,ওয়ার্ড নং-87
Ward No-88,ওয়ার্ড নং-88
Ward No-89,ওয়ার্ড নং-৮৯
Ward No-90,ওয়ার্ড নং-৯০
Ward No-91,ওয়ার্ড নং-91
Ward No-92,ওয়ার্ড নং-92
Ward No-98 (Rest. Area),ওয়ার্ড নং-৯৮ (বিশ্রাম এলাকা)
Ward No-98 (rest. Area),ওয়ার্ড নং-৯৮ (বিশ্রাম এলাকা)
West Chitasi,পশ্চিম চিতাসি
Whykong,ওয়াইকং
Yakubpur,ইয়াকুবপুর
Yearpur,ইয়ারপুর
Yusufpur,ইউসুফপুর
Zakiganj,জাকিগঞ্জ
Zakiganj Paurashava,জাকিগঞ্জ পৌরসভা
Zanjira,জাঞ্জিরা
Zanjira Paurashava,জাঞ্জিরা পৌরসভা
Zianagar,জিয়ানগর
Zindarpur,জিন্দারপুর
Zinjira,জিঞ্জিরা
Zorwarganj,জোরওয়ারগঞ্জ
